,action,adaptation,addiction,anticipation,anxiety,arousal,association,attention,autobiographical_memory,balance,belief,categorization,cognitive_control,communication,competition,concept,consciousness,consolidation,context,coordination,decision,decision_making,detection,discrimination,distraction,eating,efficiency,effort,emotion,emotion_regulation,empathy,encoding,episodic_memory,expectancy,expertise,extinction,face_recognition,facial_expression,familiarity,fear,fixation,focus,gaze,goal,hyperactivity,imagery,impulsivity,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language_comprehension,learning,listening,localization,loss,maintenance,manipulation,meaning,memory,memory_retrieval,mental_imagery,monitoring,mood,morphology,motor_control,movement,multisensory,naming,navigation,object_recognition,pain,perception,planning,priming,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement_learning,response_inhibition,response_selection,retention,retrieval,reward_anticipation,rhythm,risk,rule,salience,search,selective_attention,semantic_memory,sentence_comprehension,skill,sleep,social_cognition,spatial_attention,speech_perception,speech_production,strategy,strength,stress,sustained_attention,task_difficulty,thought,uncertainty,updating,utility,valence,verbal_fluency,visual_attention,visual_perception,word_recognition,working_memory
7Networks_LH_Vis_1,0.393704305,0.67555773,-0.858760382,-0.556025447,-0.435339655,-0.240404916,-0.447608215,-0.452490151,2.166470868,-0.916113428,-0.361748257,0.503499133,-1.052356305,-0.469074304,0.076422598,0.83472991,1.078974307,0.48615904,1.374430791,0.106032362,-0.190567948,-1.133082607,-0.477479443,-0.551859773,-0.002856945,0.070288067,-0.607619479,-0.227996461,-0.198895517,0.22790981,-0.633437661,2.969654438,2.277649712,-0.370496689,1.130737613,0.775510601,2.336044908,0.460849389,0.50355768,0.309621521,0.171972494,-1.020306162,0.492179521,-0.47043052,-0.815940693,0.81183689,-0.518963274,0.069450828,0.049621671,-1.448676453,-0.124908974,0.32633484,-1.09725274,-1.007052811,-0.582676984,0.736555538,0.471363426,1.598781125,0.700846765,0.503881199,-0.248860057,-0.133829888,-0.067670986,-0.007918733,1.04819222,1.802300446,2.178132629,1.043534077,1.196128548,-0.713198912,-0.198981809,-0.33668773,-0.683845604,-1.341387452,0.766605486,1.191376891,2.774022673,2.423473546,-1.21408623,1.086180951,-0.587657362,1.730684054,-1.123054803,2.714622662,-0.326592633,1.253544718,4.175217363,0.253100393,-0.158359716,-0.883597128,-0.907419141,0.414202931,2.995136858,-0.038433553,-0.15678238,-1.671557957,-0.11961092,-0.386324914,0.266426073,-0.479800391,2.405079973,-0.069529172,0.389297225,-0.373484565,0.053087172,-0.383081064,-0.414259729,-0.377639576,-0.345984563,-0.102934437,-0.317679536,-0.1656288,0.34300608,0.440502456,-0.077424263,-0.600531739,-0.243172331,0.949592263,-0.493287197,-0.386628354,1.295972532,1.449219851,-0.784543144
7Networks_LH_Vis_2,-0.932648413,-0.371855539,-0.190352154,-0.635337149,-0.439425113,0.44782719,0.056286121,-0.638496649,3.742448319,-0.374953565,-0.10727434,-0.218450434,-0.718463646,-0.356750463,-0.324456709,0.065122474,0.389802203,1.445173079,1.907419526,-1.048817472,-0.294312027,-1.06716701,-1.328119808,-0.674689903,0.224195791,-0.317592527,-0.176866165,-0.328475455,0.30285567,0.151326252,0.028293725,4.732899422,4.919066099,-0.448634214,0.223983599,0.801898742,-0.079043142,-0.138015797,1.395878499,-0.321790841,0.218719866,-0.760775149,-0.619443052,0.171305856,-0.490309309,0.879672948,-0.457979264,-0.223633833,0.19826302,-1.211572949,0.441560612,0.227207071,-1.186122074,-0.573233306,-0.410967981,0.77270547,1.379824024,0.7800961,0.818453379,0.968100216,-0.836250975,-0.410477607,0.31318475,0.357644732,0.822440375,1.221491107,5.367949196,2.708784865,1.596453946,-0.638344488,-0.12074761,-0.155710946,-1.138087201,-1.938286207,-0.265810813,0.742932454,3.607395223,0.375727773,-0.716184906,-0.0774337,-0.650579479,-0.086559142,-0.581037786,0.685718343,-0.509840897,2.425915795,3.038110696,0.137509429,-0.044953999,-0.906687699,-0.814285219,0.988932606,4.980302535,-0.330702033,-0.316373882,-0.888811082,-0.104547884,0.159358411,0.756348057,-0.512847492,4.300129207,-0.22715083,-0.260285224,0.920284434,0.465314948,-1.06571914,-0.878633934,-0.889056109,0.240601142,-0.048689268,-0.036678615,0.418300442,0.985959978,0.62701206,-0.535993941,-0.059624221,-0.332548772,0.633632837,-0.573218333,-0.253676519,0.075198513,-0.094952376,-0.74128666
7Networks_LH_Vis_3,0.611571562,1.137911779,-0.991956966,-0.155377455,-1.274537201,0.087668779,-0.143348234,0.444663994,-0.32982194,-0.988634083,-0.438902697,1.509259283,-0.224159192,0.097685164,1.390963686,-0.038861421,0.544700357,-0.130354288,0.032237221,0.296097432,0.355343384,-0.967877695,0.431784845,1.183488554,-0.201448217,0.330403217,0.195577971,-0.748979677,-0.887510083,-0.964337524,-0.204120408,2.731110021,0.242152212,0.379209663,2.111111732,-0.476865291,2.995647048,0.853003939,1.182853454,0.213952147,0.733313659,-0.650060299,0.800947538,-0.105067378,-0.937473589,1.094777468,-1.089459817,-0.060382737,-0.881210428,-0.755048055,-0.599031089,0.189960272,-0.854967857,-0.995603708,1.276403705,1.506219543,-0.438594413,1.306314428,-0.859990781,0.95303012,-1.147415825,-0.093092369,-1.074913169,0.489017389,1.487136482,1.355202597,1.476189474,-0.183519899,1.08351793,-1.011076411,-0.561578813,-0.971483931,-0.169213524,-0.949598582,0.808818118,2.169524762,1.314982235,1.870254771,-0.737160118,3.310996546,-0.327326815,1.218881517,-0.99924579,5.48633095,-1.125166741,-0.509611963,2.989580523,0.54087227,0.518037446,-0.131148963,0.181862918,0.323019349,1.66614467,0.320192454,-0.304997439,-1.901236469,0.21442274,0.114754433,0.790817491,0.255932641,0.549018103,-0.368437671,0.551380071,-1.135271287,0.208284089,0.662934678,-0.479513661,-0.07953858,-0.220795495,-0.126010906,-1.108997206,0.045668604,0.882497407,0.104562179,-0.543496002,0.088878228,-0.80658728,0.114934486,-0.653412726,0.651858612,0.846789131,2.030871202,0.995301129
7Networks_LH_Vis_4,0.361818538,0.664914562,-0.53794515,-0.288302881,-0.3184746,-0.103739162,-0.058228785,0.633121157,0.130809919,-0.56438046,-0.629861803,0.122348019,-0.297621139,-0.581545186,-0.018748899,-0.034562125,1.313374562,0.133283455,0.161594888,0.420015111,0.229102904,0.15022929,-0.276585526,0.389173627,0.50074121,0.028172949,-0.278741616,-0.379700237,-0.481606412,0.167481922,0.305769329,2.221027017,0.907670298,-0.061493245,-0.063157593,0.426107913,0.716975253,-0.268963771,1.478265987,-0.545900249,0.825687864,-0.181896374,-0.464491086,0.224240346,-0.268127624,1.55776304,-0.18730588,-0.130031895,0.479304118,-0.213359881,0.256103836,-1.046511858,-0.885187811,-0.498085263,0.320149589,0.551403954,0.1232102,-0.747605062,-0.476251341,0.566545595,-0.758012787,-0.273289836,-0.603414732,0.272656927,0.259023345,-0.09278008,1.210244519,-0.950621748,0.860951894,-0.298880846,0.259586911,-0.402135654,-0.044747808,-0.43404438,0.957637206,1.320592438,3.710478138,0.406989575,0.026947047,0.869116597,0.37568271,0.659716969,-0.314173584,0.636427471,-0.381879743,1.329736864,1.444004096,0.326740829,0.667716469,-0.53572743,-0.224780598,0.979066892,0.923881086,0.338864522,1.249534626,-1.239682683,-0.143991433,0.444077007,0.374176009,0.425259876,0.057169714,-0.319517335,0.47134981,0.468922629,0.589009047,0.422935513,-0.706476501,-0.21629001,0.367141995,-0.330759574,-0.900083307,0.496244414,0.387868373,-0.016808016,-0.190216551,-0.335320272,-0.573724,0.639346656,-0.457081905,0.722774719,1.288289248,-0.198656448,0.068017758
7Networks_LH_Vis_5,0.591999309,-0.499542667,-0.41452026,-0.125692473,-0.660939422,-0.069792074,-0.421386483,1.195198857,0.523750857,0.002945414,-0.154403608,0.067106507,-0.553614609,-0.018461652,1.426732664,-0.251999206,-0.600524967,-0.675532368,1.044215687,0.648719241,0.657052395,0.123217407,0.816528789,0.622789865,-0.11822586,0.391640642,0.134547225,-0.318987936,-0.402813043,-0.875959377,0.422301692,1.571587689,0.243564037,0.086904889,0.575534451,-0.132385483,0.620667676,1.32243353,0.721840288,-0.333432843,1.200424477,-0.389626846,1.257771833,0.836496544,-0.299000582,0.9005482,-0.66389326,0.111819143,-0.162448011,0.196389038,0.24702624,0.343511409,-0.166923171,0.840180518,0.460745605,0.617072082,-0.03107648,-0.53051669,-0.79307651,0.432878043,-0.725257571,0.32424506,-0.501199886,-0.079208259,0.676025208,0.710948298,0.682147506,-0.232513455,0.681464495,-0.139419819,-0.476765026,-0.767596668,-0.415905065,-0.351671678,1.320906852,0.837861622,2.049227004,0.159198404,-0.673672546,1.51985836,-0.463972093,0.472321883,-0.586587218,0.964016442,-0.077577638,-0.076976712,0.953466789,0.492992389,0.876068986,-0.12921029,-0.720398972,0.228933491,0.897190274,0.239544983,0.734475439,-0.934406336,0.351177054,0.818321065,0.689740666,0.619800904,-0.465711647,-0.620389361,1.005553493,0.207189345,-0.285635466,1.59044211,-0.605063034,-0.280002406,-0.215495698,0.212847425,-1.045206497,0.207650422,0.489612306,-0.341031168,-0.352384052,0.460481737,-0.572434849,0.386776411,-0.622037468,0.722475948,0.934274795,0.232817711,0.056390525
7Networks_LH_Vis_6,0.128447912,1.550409628,-1.079174289,-0.642611852,-0.854536767,0.394056761,-0.573957828,0.363031543,-0.163951769,-0.369786058,-0.147096408,0.773254181,-0.645630228,0.287412674,0.923779185,-0.506633835,0.128633633,-0.128710858,0.213303903,-0.432063309,1.055502848,0.45736926,0.039469059,0.282295738,-0.282327607,0.011646357,0.22208997,-0.261512314,0.10233733,-0.831071217,-0.290970665,1.446857644,0.507547501,-0.151891417,0.657038646,-0.368082593,3.267654876,0.951040092,1.124336941,0.933174077,0.149768061,-0.345153755,1.610137451,0.070046297,-0.50855707,0.355802364,-0.277137496,-0.451441719,0.555651646,-0.939233721,-0.521734897,0.515449644,-0.189448175,-0.370318958,0.457111544,0.220868037,-0.054564702,1.605468815,-0.474750362,0.008962076,-1.100951532,-0.156781836,-0.033168646,0.232790734,-0.183455796,0.485676135,0.228611824,-0.258269298,0.746893461,0.23352428,-0.717546289,-0.426088735,0.091987188,-1.210930044,0.127874616,0.993474797,0.772339645,2.080909219,-1.656949572,2.816143752,-0.613509004,0.832628704,-0.791854834,3.558993643,0.128004823,0.051007923,2.483553205,-0.210497044,-0.290375904,-0.910811579,-0.585562584,0.09868741,1.103856969,0.193070808,-0.353161945,-1.023631869,-0.116803679,0.474670802,0.125396991,0.547064317,-0.220480537,-0.418447982,0.53545513,-0.179360148,-0.446344699,1.630634972,-0.42453517,0.324514196,0.086618333,-0.589390495,-1.642230165,-0.862657457,0.189557517,0.247886127,-0.371854183,-0.54147344,-0.635250661,-0.077552942,-0.289302689,0.448857638,0.215504054,0.338216568,-0.185204248
7Networks_LH_Vis_7,-0.421450479,-0.412319834,0.140548401,0.100933279,-0.406450355,1.380718533,0.324434814,-0.874355452,2.711909091,-0.245221337,-0.572137763,0.019277816,-0.925806576,-0.626107707,0.156506905,-0.56250483,1.007737977,0.672072715,0.580295724,-0.857125124,-1.301868502,-1.364418011,-0.962320173,-0.2206051,-0.088090521,0.21365499,0.103172461,-0.983625532,0.130095852,-0.909825548,-0.784158695,4.092094426,4.980320319,0.50648313,-0.053932037,1.157721534,-0.406271582,-0.612752079,1.408216378,0.502165143,0.025328732,-0.113509029,-0.527013604,-0.30190562,-0.111234693,0.888583638,-0.035082049,-0.409466078,0.246612303,-0.78681358,0.806471476,-0.15647709,-0.477053508,-0.71682958,0.063671917,0.197309682,0.946419782,-0.838419398,-0.192889362,1.931818169,-0.668772149,-0.149470349,-0.333374232,0.067675628,-0.781067725,-0.152009718,4.494963844,3.212652896,1.377608294,-0.76679845,-0.850460597,-0.057426277,-0.390912966,-0.600937858,-0.486911678,-0.045415203,5.647150041,0.466530295,-0.117568538,0.234929468,-0.05761875,0.805731433,-0.652416464,-1.015188152,0.163121467,2.28335984,1.363166684,1.428760638,0.20786851,-1.0199286,-0.270929667,1.325596048,3.434835633,-0.246293244,-0.172830493,-0.621625708,-0.282362403,0.228489434,0.135624471,-0.018801084,3.215142042,-0.524294797,0.526639097,0.212590031,-0.140305179,-0.430075475,-0.548421245,-0.822201442,0.277971758,-0.320865468,-0.059363764,-0.303901155,-0.048735397,1.085140399,0.223888701,0.033370675,-0.726561174,0.64091345,-0.45519003,-0.215698537,0.238098691,-0.607477137,-0.697857954
7Networks_LH_Vis_8,1.730269647,0.870615869,-1.076936918,-0.712657139,-1.126568502,-0.014600229,-1.035147572,1.362570906,-0.204329817,-0.470484539,-0.694135879,-0.212476194,-1.539096182,0.337654606,1.131317226,-0.453693828,-0.405459975,0.322186007,0.181655385,-0.27157619,-0.369377314,-1.455648508,0.411197192,0.270405103,0.77665797,-0.043897228,-0.466131592,0.044224261,-1.185951829,-0.539901976,0.811961129,1.912168507,0.006878286,-0.249662438,1.538031205,-0.25966187,2.473037076,0.349526478,1.203544174,-0.107712168,1.626876218,-0.067936334,1.62893067,0.666241998,-1.30235317,0.85092375,-1.391795323,-0.718956749,-0.719788338,-0.989773175,-0.561681544,0.270500113,-1.003753615,-0.775432728,1.018320747,0.676791478,0.844673464,1.922511271,-1.037432036,-0.342939118,-0.907888884,-0.340213994,-0.869916675,0.248433806,1.709688465,0.991436384,0.009259646,-0.289759585,1.015943836,-0.476649081,-1.598648019,-0.996417995,0.061120785,-0.364438469,1.698101267,3.612598955,0.104372098,3.360721817,-0.95944792,2.695336823,-0.154047377,0.782816993,-1.427675992,4.909690352,-0.305761334,-0.553549361,2.736712391,-0.163919918,-0.329941396,-0.435076388,0.03279653,-0.220418797,0.649255564,0.010985866,-0.587988241,-2.578379423,0.052028475,0.008768071,0.322961733,1.406349363,-0.30692675,-0.173546638,0.647627069,-0.875903328,-0.355548887,0.98437761,-0.670977174,-0.154688396,-0.609696858,-0.790859481,-1.650626005,-0.550949111,1.139399868,-0.047593344,-0.530620588,-0.570618045,-0.695971998,-0.499219396,0.047263256,1.715532521,2.844360345,0.748793065,-0.14495345
7Networks_LH_Vis_9,0.12862242,-0.084425527,-0.089868944,-0.056570541,-0.307081486,0.248041844,-0.841119268,-0.051577164,0.703617631,-0.293630597,-0.016771092,-0.084668328,-0.599426346,0.910119044,1.120369857,0.387011254,0.107237057,-0.210447568,0.612687675,-0.281582375,1.071197995,0.38835315,0.001750078,-0.441828931,0.489713695,0.539171838,0.039792122,-0.495529527,0.279837707,-0.175347413,-0.087533918,0.68076714,0.909147747,2.040179498,0.083536759,-0.116512924,-0.429804097,-0.135478714,1.284850378,0.390935114,0.645879276,-0.538779159,0.887535058,-0.114222032,-0.905136742,0.30293086,-0.937865635,0.885301674,0.192723644,-0.495391272,-0.083862583,0.90696073,-0.795630236,-0.218672077,-0.0370081,1.167690137,0.306865554,0.104185286,-0.41678625,0.172110785,-0.853422802,0.100312774,-0.5554943,0.299468393,-0.31413478,0.027058023,0.99251081,0.324367681,0.347366242,0.08762631,-0.491342755,-0.657886576,0.097726698,0.480017134,-0.166956376,0.626100938,2.659384972,0.571734636,-0.827992958,1.652529079,0.772523818,0.544128532,-0.509212565,1.716351356,0.372354636,-0.839068542,0.511190279,1.206792071,0.638579375,-1.348981325,-0.501053493,-0.240064415,0.767288599,0.100482924,-0.609385413,-0.945033115,1.24375156,-0.372426921,1.002187318,-0.039558591,0.033225034,-0.289497066,0.124414744,-0.173123438,0.463656417,0.257389948,-0.714790651,-0.159981852,-0.061466302,-0.671059651,-0.793053723,-0.682249947,0.39626827,-0.256831506,0.081392425,-0.245854204,-0.92938746,0.074198942,0.007475582,0.534690266,0.254968166,0.862213457,0.044381635
7Networks_LH_Vis_10,-0.35647861,-0.135049575,-0.879779016,0.137929524,-0.323460755,0.042516971,0.218250096,-0.107476189,0.039152472,-0.346460614,-0.61474921,0.126419364,-0.906004669,-0.425993307,0.346551035,0.063007404,-0.582536618,0.585024038,0.126371169,0.571568156,-0.004370578,0.014752439,-0.239254146,0.030167515,-0.148871054,0.258118855,-0.549121091,-0.656039247,-0.202525576,0.232062058,0.578021474,0.801267777,1.547744532,-0.081572378,0.718354496,0.115875371,0.339858381,0.147035303,0.016411191,-1.02790029,1.371069885,0.768880398,0.568977577,0.425434515,-0.752125276,0.970175778,0.440332942,0.378532356,0.845473966,-0.679230823,0.728559778,0.242399288,-0.639132241,-0.072445545,-0.212477885,-0.396625179,0.083759394,0.126757191,-0.277824495,0.147511407,-0.209620433,-0.053055637,-0.613054511,0.133805047,-0.093455776,1.210272007,0.814174463,-0.098830641,0.732069627,0.146173722,-0.252500149,-0.392567837,0.916022529,0.481924055,0.682705707,0.281411248,2.985403493,-0.431584445,-0.39353081,0.023435878,0.529061161,-0.237523102,-0.167429805,0.401874031,-0.636034465,0.794183276,0.585473208,-0.215302421,0.333621439,0.097282095,-0.40555405,0.391559033,0.723130311,0.536374129,-0.14843549,-0.863870104,-0.225080558,-0.234859387,0.294190074,0.028276633,1.629759865,-0.223081424,0.47867405,0.367509226,0.324281772,0.364681791,0.275188387,1.323488409,0.162056919,-0.526693647,-0.330803174,-0.190109911,0.338676819,0.126910946,-0.152237945,-0.014091456,-0.43503676,0.292957808,0.727771227,0.428202118,-0.203978778,-0.127066281,0.110202581
